Timestamp,State,LoadType,TargetV,CellV,Current_mA,Charge_mAh,Discharge_mAh
583.9872949123383,WAIT_LOAD,NONE,0.0,2.074,-0.055,0.0,0.0
584.2757470607758,WAIT_LOAD,NONE,0.0,2.071,-0.063,0.0,0.0
584.5692706108093,WAIT_LOAD,NONE,0.0,2.074,-0.045,0.0,0.0
584.899418592453,WAIT_LOAD,NONE,0.0,2.075,-0.074,0.0,0.0
585.1523485183716,WAIT_LOAD,NONE,0.0,2.072,-0.052,0.0,0.0
585.4340996742249,WAIT_LOAD,NONE,0.0,2.072,-0.034,0.0,0.0
585.7372331619263,WAIT_LOAD,NONE,0.0,2.074,-0.063,0.0,0.0
586.0513389110565,WAIT_LOAD,NONE,0.0,2.073,-0.066,0.0,0.0
586.2997949123383,WAIT_LOAD,NONE,0.0,2.073,-0.081,0.0,0.0
586.5821876525879,WAIT_LOAD,NONE,0.0,2.074,-0.077,0.0,0.0
586.9047701358795,WAIT_LOAD,NONE,0.0,2.07,-0.041,0.0,0.0
587.1482362747192,WAIT_LOAD,NONE,0.0,2.07,-0.023,0.0,0.0
587.468822479248,WAIT_LOAD,NONE,0.0,2.075,-0.088,0.0,0.0
587.741613149643,WAIT_LOAD,NONE,0.0,2.07,-0.004,0.0,0.0
587.9923486709595,WAIT_LOAD,NONE,0.0,2.073,-0.074,0.0,0.0
588.277024269104,WAIT_LOAD,NONE,0.0,2.072,-0.045,0.0,0.0
588.6096007823944,WAIT_LOAD,NONE,0.0,2.069,0.01,0.0,0.0
588.8720834255219,WAIT_LOAD,NONE,0.0,2.069,-0.004,0.0,0.0
589.1636312007904,WAIT_LOAD,NONE,0.0,2.074,-0.081,0.0,0.0
589.20388007164,WAIT_LOAD,NONE,0.0,2.068,0.018,0.0,0.0
589.5054228305817,WAIT_LOAD,NONE,0.0,2.071,-0.052,0.0,0.0
589.7979276180267,WAIT_LOAD,NONE,0.0,2.074,-0.103,0.0,0.0
590.0469431877136,WAIT_LOAD,NONE,0.0,2.076,-0.066,0.0,0.0
590.3309383392334,WAIT_LOAD,NONE,0.0,2.075,-0.074,0.0,0.0
590.6413900852203,WAIT_LOAD,NONE,0.0,2.073,-0.077,0.0,0.0
